appid,name,developer,publisher,score_rank,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,initialprice,discount,tags,languages,genre
1237980,STAR WARS Battlefront,DICE,Electronic Arts,,"1,000,000 .. 2,000,000",317,0,560,0,24,1999.0,1999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German, Arabic, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Traditional Chinese, Spanish - Spain<strong>*</strong><br><strong>*</strong>languages with full audio support","Action, Adventure, Strategy"
518060,Chess Ultra,Ripstone,Ripstone,,"100,000 .. 200,000",226,0,218,0,24,1299.0,1299.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Steam Turn Notifications, Remote Play on TV, Remote Play Together, Family Sharing","English, French, Italian, German, Spanish - Spain, Dutch, Russian, Portuguese - Brazil","Casual, Indie, Simulation, Sports, Strategy"
707030,POSTAL 4: No Regerts,Running With Scissors,Running With Scissors,,"500,000 .. 1,000,000",180,0,234,0,24,3999.0,3999.0,0.0,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","English<strong>*</strong>, Polish, Russian, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Spanish - Latin America, Turkish<br><strong>*</strong>languages with full audio support","Action, Adventure"
2248180,Just Xiangqi,Studio Amateur,Studio Amateur,,"20,000 .. 50,000",206,0,206,0,24,999.0,999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Leaderboards, Remote Play Together, Family Sharing","English<strong>*</strong>, Japanese, Korean, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support","Casual, Indie, Simulation, Strategy"
1869270,Multi Turret Academy,Scarlet Academy,Scarlet Academy,,"20,000 .. 50,000",110,0,110,0,24,899.0,899.0,0.0,"Single-player, Steam Cloud, Family Sharing","English, Simplified Chinese, Russian, Traditional Chinese, Japanese","Action, Indie, Early Access"
32450,LEGO Indiana Jones 2: The Adventure Continues,Traveller's Tales,"LucasArts, Lucasfilm, Disney",,"100,000 .. 200,000",171,0,340,0,24,1999.0,1999.0,0.0,"Single-player, Multi-player, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","English, French, Italian, German, Spanish - Spain",Adventure
238260,Pinball Arcade,FarSight Studios,FarSight Studios,,"500,000 .. 1,000,000",35,0,35,0,24,0.0,0.0,0.0,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Partial Controller Support","English, French, Italian, German, Spanish - Spain","Free To Play, Simulation"
2357000,Kill It With Fire 2,Casey Donnellan Games LLC,tinyBuild,,"50,000 .. 100,000",0,0,0,0,24,1499.0,1499.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","English<strong>*</strong>, French, German, Spanish - Spain, Japanese, Simplified Chinese, Portuguese - Brazil, Korean, Russian<br><strong>*</strong>languages with full audio support","Action, Adventure, Casual, Indie, Simulation, Early Access"
2381590,Only Up,Indiesolodev,Indiesolodev,,"500,000 .. 1,000,000",237,0,116,0,24,0.0,0.0,0.0,"Single-player, Steam Achievements, Family Sharing","English<strong>*</strong>, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Japanese, French, Korean<br><strong>*</strong>languages with full audio support","Adventure, Casual, Indie, Simulation"
13240,Unreal Tournament: Game of the Year Edition,"Epic Games, Inc.","Epic Games, Inc.",,"200,000 .. 500,000",393,0,124,0,24,0.0,0.0,0.0,"Single-player, Multi-player, Family Sharing",English,Action
702670,Donut County,Ben Esposito,Annapurna Interactive,,"200,000 .. 500,000",158,0,148,0,24,1299.0,1299.0,0.0,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Polish<strong>*</strong>, Spanish - Latin America<strong>*</strong><br><strong>*</strong>languages with full audio support","Adventure, Casual, Indie"
1664220,TRAIL OUT,GOOD BOYS,Crytivo,,"100,000 .. 200,000",341,0,661,0,24,1999.0,1999.0,0.0,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","English<strong>*</strong>, German, Russian<strong>*</strong>, Spanish - Spain, French, Swedish, Ukrainian, Hungarian, Simplified Chinese, Traditional Chinese, Portuguese - Brazil<br><strong>*</strong>languages with full audio support","Action, Casual, Indie, Racing"
